Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-30,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31
Cash & Equivalents,22144000000,25134000000,21548000000,19516000000,21013000000,20540000000,27429000000,22955000000,21826000000,25243000000,24263000000,30989000000,25971000000,17504000000,20523000000,22117000000,20848000000,16718000000,18562000000,16828000000,17940000000,18492000000,17589000000,16223000000,17823000000,15905000000,13340000000,17063000000,15917000000,14272000000,14686000000,12897000000,12368000000,10757000000,13320000000,11573000000,12983000000,14468000000,14752000000,13362000000,13820000000,15659000000,13539000000,15101000000,15244000000,17148000000,16460000000,17472000000,21318000000,14805000000,17992000000,18322000000,24356000000,20894000000,25798000000,24011000000,21093000000,22049000000,24894000000,30066000000,33751000000,35283000000,27437000000,32000000000,26867000000,28896000000,25511000000,27985000000,21179000000,28406000000,28200000000,30133000000,23345000000,22831000000,17416000000,15648000000,18190000000,23208000000,27887000000,17684000000,19237000000,12221000000,16073000000,13103000000,16020000000,7197000000,10638000000,6586000000,5382000000,4851000000,5662000000,8664000000,5758000000,4381000000,5278000000,5619000000,5930000000,4836000000,6382000000,6687000000,8228000000,7934000000,7144000000,5065000000,5798000000,7267000000,,,,8440000000
Short-Term Investments,57719000000,57656000000,52527000000,47900000000,52990000000,61596000000,51597000000,52420000000,64945000000,67119000000,62415000000,68861000000,75288000000,70798000000,67991000000,69687000000,72326000000,71586000000,68598000000,71002000000,76811000000,72645000000,70033000000,72774000000,70771000000,69188000000,66375000000,70094000000,,66041000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16137000000,14945000000,11433000000,10949000000,6875000000,11502000000,11814000000,14703000000,15247000000,18568000000,18973000000,21247000000,21664000000,19567000000,19269000000,20120000000,17764000000,17386000000,14473000000,14935000000,14736000000,15168000000,13193000000,11836000000,,,,6856000000
Cash & Cash Equivalents,79863000000,82790000000,74075000000,67416000000,74003000000,82136000000,79026000000,75375000000,86771000000,92362000000,86678000000,99850000000,101259000000,88302000000,88514000000,91804000000,93174000000,88304000000,87160000000,87830000000,94751000000,91137000000,87622000000,88997000000,88594000000,85093000000,79715000000,87157000000,15917000000,80313000000,14686000000,12897000000,12368000000,10757000000,13320000000,11573000000,12983000000,14468000000,14752000000,13362000000,13820000000,15659000000,13539000000,15101000000,15244000000,17148000000,16460000000,17472000000,21318000000,14805000000,17992000000,18322000000,24356000000,20894000000,25798000000,24011000000,21093000000,22049000000,24894000000,30066000000,33751000000,35283000000,27437000000,32000000000,26867000000,28896000000,25511000000,27985000000,21179000000,28406000000,28200000000,30133000000,23345000000,22831000000,17416000000,15648000000,18190000000,23208000000,27887000000,17684000000,19237000000,12221000000,32210000000,28048000000,27453000000,18146000000,17513000000,18088000000,17196000000,19554000000,20909000000,27232000000,24731000000,25628000000,26942000000,25186000000,25199000000,24956000000,24146000000,24073000000,22701000000,22869000000,21880000000,20233000000,18991000000,19103000000,0,0,0,15296000000
Cash Growth,7.92%,0.80%,-6.27%,-10.56%,-14.71%,-11.07%,-8.83%,-24.51%,-14.31%,4.60%,-2.07%,8.76%,8.68%,0.00%,1.55%,4.52%,-1.66%,-3.11%,-0.53%,-1.31%,6.95%,7.10%,9.92%,2.11%,456.60%,5.95%,442.80%,575.79%,28.70%,646.61%,10.26%,11.44%,-4.74%,-25.65%,-9.71%,-13.39%,-6.06%,-7.61%,8.96%,-11.52%,-9.34%,-8.68%,-17.75%,-13.57%,-28.49%,15.83%,-8.51%,-4.64%,-12.47%,-29.14%,-30.26%,-23.69%,15.47%,-5.24%,3.63%,-20.14%,-37.50%,-37.51%,-9.27%,-6.04%,25.62%,22.10%,7.55%,14.35%,26.86%,1.72%,-9.54%,-7.13%,-9.28%,24.42%,61.92%,92.57%,28.34%,-1.62%,-37.55%,-11.51%,-5.44%,89.90%,-13.42%,-36.95%,-29.93%,-32.65%,83.92%,55.06%,59.65%,-7.20%,-16.24%,-33.58%,-30.47%,-23.70%,-22.39%,8.12%,-1.86%,2.69%,11.58%,4.62%,11.00%,9.13%,10.36%,18.98%,19.54%,19.71%,,,,24.89%,,,,
Receivables,14920000000,15729000000,14764000000,15037000000,13031000000,11370000000,10851000000,8750000000,10448000000,9993000000,10114000000,9107000000,6625000000,9237000000,10621000000,10941000000,12016000000,11195000000,11244000000,11026000000,12386000000,10599000000,10277000000,10159000000,10685000000,11102000000,10029000000,10728000000,11252000000,11042000000,13373000000,12666000000,13005000000,11708000000,11143000000,12853000000,12088000000,9828000000,11693000000,11353000000,11384000000,10878000000,10737000000,10160000000,9904000000,8565000000,9036000000,9473000000,8999000000,8381000000,8368000000,7985000000,6925000000,7194000000,7296000000,6643000000,5390000000,5674000000,7683000000,9344000000,8563000000,8863000000,11969000000,12263000000,11663000000,8057000000,9077000000,10344000000,10223000000,9956000000,9683000000,11810000000,14558000000,15073000000,12813000000,19412000000,16389000000,18420000000,12958000000,16968000000,20388000000,19665000000,17361000000,19522000000,16957000000,14729000000,6755000000,7499000000,9244000000,11009000000,10198000000,8211000000,8496000000,7102000000,6517000000,5046000000,3910000000,3492000000,3149000000,2863000000,2996000000,3097000000,3220000000,3364000000,3375000000,3133000000,,,,3321000000
Inventory,16212000000,14080000000,15213000000,13976000000,14647000000,12065000000,13508000000,13593000000,12742000000,10808000000,10583000000,10220000000,11312000000,10786000000,12451000000,12437000000,12333000000,11220000000,12810000000,12565000000,12371000000,11176000000,11263000000,11092000000,10535000000,8898000000,10219000000,9829000000,9770000000,8319000000,9496000000,9438000000,9519000000,7870000000,9296000000,9365000000,8874000000,7708000000,8799000000,8192000000,8423000000,7362000000,8208000000,7289000000,7031000000,5901000000,7212000000,7036000000,7414000000,5917000000,6855000000,6076000000,6292000000,5041000000,6560000000,6603000000,6575000000,6988000000,12048000000,12987000000,11721000000,10121000000,12886000000,12614000000,12525000000,10017000000,11997000000,12116000000,11962000000,10271000000,11687000000,11550000000,11482000000,10748000000,10981000000,10614000000,10193000000,9151000000,10085000000,8448000000,7953000000,6977000000,7504000000,7522000000,7068000000,6127000000,7110000000,7220000000,7664000000,7514000000,8189000000,6251000000,6557000000,5684000000,7218000000,6347000000,5542000000,5656000000,6387000000,5551000000,6340000000,5468000000,6320000000,6136000000,7237000000,6656000000,,,,7162000000
Other Current Assets,4128000000,3877000000,4036000000,4040000000,4461000000,3425000000,3583000000,3557000000,3971000000,3581000000,4390000000,4934000000,5080000000,5722000000,4168000000,3169000000,3672000000,3930000000,3629000000,3604000000,3756000000,3889000000,3570000000,3291000000,3414000000,3368000000,3552000000,3053000000,,2913000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14253000000,-11558000000,-12620000000,-5881000000,1415000000,3681000000,4291000000,-244000000,1718000000,3788000000,3151000000,4170000000,3804000000,5315000000,3642000000,4605000000,5837000000,5277000000,5450000000,5413000000,5230000000,4933000000,3621000000,2800000000,,,,1502000000
Total Current Assets,115123000000,116476000000,108088000000,100469000000,106142000000,108996000000,106968000000,101275000000,113932000000,116744000000,111765000000,124111000000,124276000000,114047000000,115754000000,118351000000,121195000000,114649000000,114843000000,115025000000,123264000000,116801000000,112732000000,113539000000,113228000000,108461000000,103515000000,110767000000,,102587000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42822000000,43534000000,38858000000,33121000000,32793000000,36488000000,38395000000,37833000000,41014000000,45482000000,42935000000,42584000000,44481000000,41894000000,38293000000,38709000000,39519000000,37764000000,37487000000,36847000000,36650000000,34666000000,33224000000,31692000000,,,,27281000000
"Property, Plant & Equipment",37970000000,37265000000,35529000000,36162000000,36625000000,37139000000,36597000000,36723000000,36361000000,37083000000,36118000000,35276000000,35294000000,36469000000,35404000000,36581000000,36145000000,36178000000,35762000000,35580000000,36118000000,35327000000,34760000000,33794000000,32668000000,32072000000,32257000000,31940000000,31164000000,30163000000,30137000000,30750000000,29612000000,30126000000,30048000000,29294000000,28447000000,27616000000,26836000000,25863000000,25795000000,24942000000,24347000000,22808000000,23150000000,22371000000,22304000000,23263000000,23407000000,23179000000,22956000000,22210000000,22826000000,22637000000,24812000000,24801000000,23779000000,24143000000,30253000000,32149000000,37007000000,36239000000,37831000000,37303000000,37638000000,36055000000,37844000000,41639000000,40941000000,40676000000,41887000000,42281000000,43395000000,43303000000,42904000000,42325000000,42799000000,43506000000,42077000000,39634000000,38151000000,37923000000,35172000000,35162000000,33537000000,34575000000,35825000000,35421000000,36133000000,37508000000,35600000000,34677000000,35831000000,36528000000,41356000000,39775000000,36882000000,37320000000,36480000000,35847000000,35438000000,34594000000,34282000000,33491000000,33039000000,33527000000,,,,31273000000
Long-Term Investments,76540000000,75473000000,73794000000,78472000000,79852000000,82162000000,82207000000,83980000000,85075000000,88129000000,88295000000,86354000000,81930000000,85452000000,85605000000,86310000000,86166000000,87372000000,89441000000,88803000000,88665000000,87502000000,86381000000,83389000000,82250000000,82057000000,82605000000,80244000000,,75871000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151989000000,158442000000,153388000000,160698000000,164918000000,181101000000,177519000000,175523000000,172030000000,173533000000,163720000000,159041000000,144386000000,147260000000,143990000000,141718000000,128406000000,128581000000,127053000000,179575000000,174125000000,173321000000,166420000000,168293000000,,,,156495000000
Goodwill and Intangibles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86000000,82000000,84000000,0,89000000,95000000,97000000,100000000,100000000,103000000,98000000,102000000,123000000,183000000,192000000,165000000,225000000,235000000,227000000,246000000,1805000000,2044000000,2064000000,2069000000,6487000000,6344000000,6308000000,3611000000,6396000000,6392000000,6072000000,5945000000,6072000000,6679000000,7011000000,6394000000,7014000000,7186000000,7173000000,7000000000,7053000000,6930000000,6726000000,6528000000,6490000000,6885000000,6869000000,7645000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
Other Long-Term Assets,27167000000,26670000000,29508000000,30652000000,30367000000,28738000000,26905000000,26554000000,25451000000,25305000000,23765000000,23625000000,22650000000,22569000000,21394000000,20942000000,19775000000,18341000000,18920000000,18671000000,19183000000,18866000000,17400000000,16747000000,15948000000,15361000000,16586000000,16727000000,,16304000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49223000000,46268000000,42996000000,40504000000,43991000000,36536000000,32540000000,32526000000,33641000000,30888000000,32538000000,32096000000,37167000000,32376000000,27346000000,19798000000,24109000000,26079000000,23260000000,28081000000,29166000000,29938000000,29274000000,29355000000,,,,28234000000
Total Long-Term Assets,141677000000,139408000000,138831000000,145286000000,146844000000,148039000000,145709000000,147257000000,146887000000,150517000000,148178000000,145255000000,139874000000,144490000000,142403000000,143833000000,142086000000,141891000000,144123000000,143054000000,143966000000,141695000000,138541000000,133930000000,130866000000,129490000000,131448000000,128911000000,,122338000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242874000000,246757000000,236790000000,243422000000,244734000000,253058000000,246192000000,245557000000,241271000000,239098000000,232089000000,227665000000,222909000000,219411000000,208218000000,198836000000,188995000000,190507000000,185751000000,242250000000,237573000000,236750000000,228733000000,231175000000,,,,216002000000
Total Assets,256800000000,255884000000,246919000000,245755000000,252986000000,257035000000,252677000000,248532000000,260819000000,267261000000,259943000000,269366000000,264150000000,258537000000,258157000000,262184000000,263281000000,256540000000,258966000000,258079000000,267230000000,258496000000,251273000000,247469000000,244094000000,237951000000,234963000000,239678000000,237288000000,224925000000,219431000000,216045000000,212374000000,208615000000,208835000000,210945000000,207082000000,202179000000,201071000000,196210000000,193010000000,189406000000,184680000000,181236000000,182075000000,178348000000,162740000000,168086000000,167391000000,164687000000,177078000000,179750000000,191968000000,192040000000,203106000000,200190000000,203134000000,218298000000,242065000000,265297000000,282913000000,279264000000,276163000000,279218000000,272210000000,279196000000,267465000000,276948000000,269076000000,269459000000,268295000000,276834000000,280588000000,295487000000,288678000000,293613000000,300079000000,299397000000,310328000000,306189000000,289324000000,277122000000,285696000000,290291000000,275648000000,271893000000,277527000000,289546000000,284587000000,283390000000,282285000000,284580000000,275024000000,270249000000,267390000000,261305000000,246511000000,237545000000,228514000000,228271000000,223238000000,279097000000,274223000000,271416000000,261957000000,262867000000,,,,243283000000
Accounts Payable,26028000000,25605000000,27051000000,23378000000,23256000000,22349000000,22923000000,18593000000,23492000000,22204000000,21466000000,16360000000,18439000000,20673000000,22228000000,22980000000,23325000000,21520000000,23273000000,22743000000,25480000000,23282000000,23566000000,23568000000,23257000000,21296000000,22384000000,23084000000,22072000000,20272000000,22386000000,21844000000,22366000000,20035000000,21155000000,22062000000,22209000000,19531000000,21640000000,20961000000,20600000000,19308000000,20793000000,19661000000,19638000000,17724000000,18924000000,19424000000,19984000000,16362000000,17374000000,15976000000,15611000000,14301000000,15209000000,13971000000,12882000000,13145000000,20358000000,24216000000,23964000000,20832000000,25898000000,25495000000,24480000000,21214000000,22738000000,23595000000,24005000000,22910000000,22991000000,23853000000,24169000000,22030000000,22399000000,21879000000,26545000000,20407000000,20742000000,21832000000,20480000000,18936000000,26780000000,28865000000,28248000000,21328000000,27774000000,30074000000,30606000000,28607000000,28536000000,28141000000,26388000000,25759000000,24359000000,22756000000,19635000000,20566000000,18774000000,18963000000,21253000000,19509000000,18467000000,18214000000,18586000000,19109000000,,,,18912000000
