Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-30,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31
Current Debt,48050000000,50164000000,44050000000,43819000000,48286000000,49692000000,47323000000,46012000000,49471000000,51343000000,50995000000,55344000000,52912000000,53946000000,54604000000,52851000000,54548000000,53493000000,50763000000,50884000000,52983000000,51621000000,51174000000,50773000000,49257000000,49669000000,47273000000,44861000000,,42975000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209000000,241000000,235000000,302000000,283000000,226000000,249000000,277000000,731000000,862000000,1107000000,1338000000,1429000000,1348000000,1501000000,1121000000,1168000000,855000000,801000000,1129000000,1587000000,1624000000,1756000000,1661000000,,,,1832000000
Total Current Liabilities,95905000000,96866000000,90167000000,86452000000,90352000000,90727000000,89033000000,83474000000,94249000000,97192000000,93159000000,92780000000,94494000000,98132000000,99087000000,98334000000,99237000000,95569000000,94750000000,94861000000,99878000000,94600000000,94352000000,94299000000,91304000000,90281000000,89188000000,89408000000,,82336000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45362000000,46584000000,44381000000,44546000000,41960000000,44543000000,43706000000,43181000000,42600000000,43247000000,39926000000,39605000000,41374000000,40814000000,37809000000,35643000000,35694000000,35677000000,36987000000,33291000000,35994000000,34180000000,32502000000,33170000000,,,,28776000000
Other Current Liabilities,21827000000,21097000000,19066000000,19255000000,18810000000,18686000000,18787000000,18869000000,21286000000,23645000000,20698000000,21076000000,23143000000,23513000000,22255000000,22503000000,21364000000,20556000000,20714000000,21234000000,21415000000,19697000000,19612000000,19958000000,18790000000,19316000000,19531000000,21463000000,,19089000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18373000000,17478000000,15898000000,22916000000,13903000000,14243000000,12851000000,14297000000,13333000000,14244000000,12431000000,12508000000,15586000000,16710000000,16673000000,13956000000,15752000000,15859000000,14933000000,12653000000,15940000000,14342000000,12160000000,12400000000,,,,8032000000
Long-Term Debt,91242000000,88805000000,84279000000,85008000000,87315000000,88400000000,97249000000,100905000000,103201000000,110341000000,106280000000,119886000000,114414000000,101361000000,99507000000,103213000000,102612000000,100720000000,102668000000,101959000000,105351000000,102666000000,97938000000,95236000000,96720000000,93301000000,89951000000,95053000000,,89879000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167667000000,170244000000,164654000000,167707000000,166761000000,174610000000,167789000000,165952000000,161709000000,159679000000,154272000000,150992000000,144038000000,142960000000,135539000000,131714000000,122964000000,123793000000,121430000000,167796000000,162706000000,162905000000,156115000000,157380000000,,,,147474000000
Total Long-Term Liabilities,118698000000,115851000000,114663000000,115066000000,117550000000,117686000000,126940000000,130274000000,132596000000,139258000000,133623000000,145731000000,139958000000,127175000000,123683000000,127714000000,127475000000,124905000000,127498000000,126650000000,130818000000,128192000000,123561000000,120811000000,122052000000,118387000000,114180000000,119021000000,,113838000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230364000000,233713000000,223848000000,224211000000,222202000000,231245000000,224812000000,221599000000,221412000000,216690000000,206679000000,203040000000,199095000000,194249000000,183955000000,178493000000,169102000000,169524000000,164754000000,215072000000,208552000000,208123000000,202203000000,202935000000,,,,189960000000
Other Long-Term Liabilities,27456000000,27046000000,30384000000,30058000000,30235000000,29286000000,29691000000,29369000000,29395000000,28917000000,27343000000,25845000000,25544000000,25814000000,24176000000,24501000000,24863000000,24185000000,24830000000,24691000000,25467000000,25526000000,25623000000,25575000000,25332000000,25086000000,24229000000,23968000000,,23959000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62697000000,63469000000,59194000000,56504000000,55441000000,56635000000,57023000000,55647000000,59703000000,57011000000,52407000000,52048000000,55057000000,51289000000,48416000000,46779000000,46138000000,45731000000,43324000000,47276000000,45846000000,45218000000,46088000000,45555000000,,,,42486000000
Total Liabilities,214603000000,212717000000,204830000000,201518000000,207902000000,208413000000,215973000000,213748000000,226845000000,236450000000,226782000000,238511000000,234452000000,225307000000,222770000000,226048000000,226712000000,220474000000,222248000000,221511000000,230696000000,222792000000,217913000000,215110000000,213356000000,208668000000,203368000000,208429000000,207572000000,196174000000,191853000000,189597000000,187311000000,183808000000,182331000000,183801000000,179944000000,175703000000,180232000000,176661000000,175048000000,173095000000,165474000000,164157000000,165425000000,163277000000,156714000000,162736000000,164926000000,165329000000,178818000000,183291000000,197405000000,199822000000,210376000000,209608000000,219611000000,232825000000,242596000000,265521000000,274336000000,272215000000,273606000000,279913000000,274787000000,281502000000,257287000000,261275000000,255905000000,254895000000,253250000000,261825000000,264072000000,277173000000,273796000000,279267000000,286457000000,287087000000,301549000000,292436000000,276922000000,265862000000,275726000000,280297000000,268229000000,263435000000,264162000000,275788000000,268518000000,264780000000,264012000000,259937000000,246605000000,242645000000,240469000000,235063000000,221764000000,214136000000,204796000000,205201000000,201741000000,248363000000,244546000000,242303000000,234705000000,236105000000,,,,218736000000
Total Debt,139292000000,138969000000,128329000000,128827000000,135601000000,138092000000,144572000000,146917000000,152672000000,161684000000,157275000000,175230000000,167326000000,155307000000,154111000000,156064000000,157160000000,154213000000,153431000000,152843000000,158334000000,154287000000,149112000000,146009000000,145977000000,142970000000,137224000000,139914000000,140995000000,132854000000,126425000000,123526000000,122776000000,119171000000,119193000000,118707000000,117004000000,114688000000,110622000000,107857000000,107356000000,105058000000,100604000000,99897000000,100490000000,99488000000,95131000000,98550000000,101638000000,103988000000,116691000000,117385000000,130105000000,131635000000,132017000000,133066000000,145586000000,152577000000,156793000000,166025000000,169205000000,168787000000,163213000000,170036000000,167179000000,171832000000,154410000000,153478000000,151104000000,153278000000,141738000000,158441000000,161262000000,162425000000,164707000000,168101000000,171446000000,179804000000,180236000000,175107000000,164680000000,167882000000,167876000000,170485000000,164889000000,167475000000,167044000000,174836000000,168038000000,166229000000,162440000000,160541000000,155379000000,152330000000,145467000000,144308000000,137040000000,132835000000,124132000000,124648000000,122231000000,168925000000,164293000000,164529000000,157871000000,159041000000,,,,149306000000
Debt Growth,2.72%,0.64%,-11.24%,-12.31%,-11.18%,-14.59%,-8.08%,-16.16%,-8.76%,4.11%,2.05%,12.28%,6.47%,0.71%,0.44%,2.11%,-0.74%,-0.05%,2.90%,4.68%,8.47%,7.92%,8.66%,4.36%,3.53%,7.61%,8.54%,13.27%,14.84%,11.48%,6.07%,4.06%,4.93%,3.91%,7.75%,10.06%,8.99%,9.17%,9.96%,7.97%,6.83%,5.60%,5.75%,1.37%,-1.13%,-4.33%,-18.48%,-16.05%,-21.88%,-21.00%,-11.61%,-11.78%,-10.63%,-13.73%,-15.80%,-19.85%,-13.96%,-9.60%,-3.93%,-2.36%,1.21%,-1.77%,5.70%,10.79%,10.64%,12.10%,8.94%,-3.13%,-6.30%,-5.63%,-13.95%,-5.75%,-5.94%,-9.67%,-8.62%,-4.00%,4.11%,7.10%,7.36%,2.71%,-0.13%,0.24%,0.50%,-2.49%,-1.87%,0.75%,2.83%,8.90%,8.15%,9.12%,11.67%,11.25%,13.38%,14.68%,17.19%,15.77%,12.12%,-21.36%,-24.44%,-24.24%,-22.58%,6.21%,,,,6.52%,,,,
Common Stock,20884000000,20827000000,21246000000,21131000000,21028000000,21089000000,20944000000,20870000000,20696000000,20741000000,20707000000,20650000000,20584000000,20593000000,20601000000,20764000000,20673000000,20630000000,20635000000,20652000000,20540000000,20631000000,20592000000,20523000000,20556000000,20549000000,20517000000,20465000000,20373000000,20485000000,20418000000,20419000000,20466000000,20281000000,19250000000,20184000000,21081000000,20956000000,20962000000,20880000000,20832000000,20724000000,20712000000,20734000000,20730000000,20777000000,20691000000,20634000000,20597000000,20678000000,18064000000,17618000000,17238000000,16643000000,14553000000,13783000000,10829000000,10718000000,8751000000,8226000000,7826000000,7671000000,7109000000,4493000000,4440000000,4398000000,4340000000,4235000000,4117000000,4058000000,3944000000,3848000000,3615000000,3612000000,3608000000,3599000000,3605000000,3644000000,3548000000,3543000000,3480000000,3462000000,3398000000,3317000000,3154000000,3197000000,3095000000,3024000000,3451000000,4158000000,4812000000,4754000000,4794000000,4854000000,5374000000,5561000000,5490000000,5420000000,5757000000,5878000000,6094000000,6728000000,6686000000,6535000000,6480000000,6457000000,,,,6265000000
Retained Earnings,30270000000,31754000000,31072000000,32511000000,32251000000,35769000000,23894000000,22062000000,21502000000,18243000000,21031000000,18645000000,17527000000,20320000000,22590000000,22769000000,23226000000,22668000000,23384000000,22993000000,22529000000,21906000000,19405000000,18437000000,16992000000,15634000000,17013000000,16652000000,15278000000,14414000000,27489000000,26175000000,24887000000,9422000000,25051000000,24699000000,23882000000,23386000000,21014000000,20136000000,19296000000,18077000000,16670000000,15230000000,14190000000,12985000000,-440000000,-2089000000,-4487000000,-7038000000,-7228000000,-8915000000,-11514000000,-13599000000,-14524000000,-15521000000,-17782000000,-16316000000,-10169000000,-10040000000,-1372000000,-1485000000,1326000000,1707000000,956000000,-17000000,5608000000,10646000000,11088000000,13064000000,12497000000,12966000000,12205000000,12362000000,11255000000,11171000000,10190000000,8421000000,9398000000,9606000000,9371000000,8659000000,9096000000,9609000000,9518000000,10502000000,15845000000,17084000000,18386000000,17884000000,17374000000,22823000000,26078000000,24606000000,23408000000,22854000000,21077000000,19659000000,19176000000,18688000000,16819000000,25234000000,23954000000,23346000000,21331000000,20334000000,,,,17688000000
Comprehensive Income,-8788000000,-9339000000,-10193000000,-9473000000,-8294000000,-8339000000,-8245000000,-8268000000,-8370000000,-8294000000,-8613000000,-8471000000,-8461000000,-7728000000,-7842000000,-7436000000,-7501000000,-7366000000,-7429000000,-7204000000,-6669000000,-6959000000,-6759000000,-6716000000,-6929000000,-7013000000,-6046000000,-5976000000,-6046000000,-6257000000,-20442000000,-20260000000,-20406000000,-5265000000,-18165000000,-18107000000,-18190000000,-18230000000,-21509000000,-21837000000,-22533000000,-22854000000,-18541000000,-18928000000,-18314000000,-18734000000,-14269000000,-13236000000,-13684000000,-14313000000,-12609000000,-12277000000,-11199000000,-10864000000,-8704000000,-9005000000,-10624000000,-10124000000,-571000000,131000000,657000000,-558000000,-7272000000,-8146000000,-9106000000,-7846000000,-785000000,-262000000,-3156000000,-3680000000,-2454000000,-2611000000,-150000000,1463000000,-794000000,-1209000000,-913000000,-414000000,-4756000000,-5065000000,-6119000000,-6531000000,-2524000000,-2932000000,-5253000000,-5913000000,-5575000000,-6350000000,-5768000000,-3432000000,-3913000000,-2934000000,-2453000000,-1856000000,-1861000000,-2173000000,-1820000000,-1670000000,-1215000000,-1496000000,-1416000000,-1228000000,-963000000,-768000000,-559000000,-29000000,,,,594000000
Shareholders' Equity,42366000000,43242000000,42125000000,44169000000,44985000000,48519000000,36593000000,34664000000,33828000000,30690000000,33125000000,30824000000,29650000000,33185000000,35349000000,36097000000,36398000000,35932000000,36590000000,36441000000,36400000000,35578000000,33238000000,32244000000,30619000000,29170000000,31484000000,31141000000,29605000000,28642000000,27465000000,26334000000,24947000000,24438000000,26136000000,26776000000,26773000000,26112000000,20467000000,19179000000,17595000000,15947000000,18841000000,17036000000,16606000000,15028000000,5982000000,5309000000,2426000000,-673000000,-1773000000,-3574000000,-5475000000,-7820000000,-8675000000,-10743000000,-17577000000,-15722000000,-1989000000,-1683000000,7111000000,5628000000,1163000000,-1946000000,-3710000000,-3465000000,9163000000,14619000000,12049000000,13442000000,13987000000,14203000000,15670000000,17437000000,14069000000,13561000000,12882000000,11651000000,8190000000,8084000000,6732000000,5590000000,9970000000,9994000000,7419000000,7786000000,13365000000,13758000000,16069000000,18610000000,18273000000,24643000000,28419000000,27604000000,26921000000,26242000000,24747000000,23409000000,23718000000,23070000000,21497000000,30734000000,29677000000,29113000000,27252000000,26762000000,,,,24547000000
Net Cash / Debt,-59429000000,-56179000000,-54254000000,-61411000000,-61598000000,-55956000000,-65546000000,-71542000000,-65901000000,-69322000000,-70597000000,-75380000000,-66067000000,-67005000000,-65597000000,-64260000000,-63986000000,-65909000000,-66271000000,-65013000000,-63583000000,-63150000000,-61490000000,-57012000000,-57383000000,-57877000000,-57509000000,-52757000000,-125078000000,-52541000000,-111739000000,-110629000000,-110408000000,-108414000000,-105873000000,-107134000000,-104021000000,-100220000000,-95870000000,-94495000000,-93536000000,-89399000000,-87065000000,-84796000000,-85246000000,-82340000000,-78671000000,-81078000000,-80320000000,-89183000000,-98699000000,-99063000000,-105749000000,-110741000000,-106219000000,-109055000000,-124493000000,-130528000000,-131899000000,-135959000000,-135454000000,-133504000000,-135776000000,-138036000000,-140312000000,-142936000000,-128899000000,-125493000000,-129925000000,-124872000000,-113538000000,-128308000000,-137917000000,-139594000000,-147291000000,-152453000000,-153256000000,-156596000000,-152349000000,-157423000000,-145443000000,-155661000000,-135666000000,-142437000000,-137436000000,-149329000000,-149531000000,-156748000000,-150842000000,-146675000000,-141531000000,-133309000000,-130648000000,-126702000000,-118525000000,-119122000000,-111841000000,-107879000000,-99986000000,-100575000000,-99530000000,-146056000000,-142413000000,-144296000000,-138880000000,-139938000000,0,0,0,-134010000000
Net Cash Per Share,-14.75,-14.03,-13.49,-15.16,-15.37,-13.80,-16.24,-17.76,-16.41,-17.77,-17.63,-18.88,-16.67,-16.76,-16.37,-16.01,-16.01,-16.50,-16.57,-16.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76.41,-80.53,-83.26,-83.66,-85.48,-83.21,-85.93,-79.39,-84.88,-74.46,-78.56,-76.06,-82.46,-82.52,-86.17,-81.98,-98.90,-85.83,-110.63,-108.33,-104.71,-98.04,-98.37,-92.35,-89.08,-82.50,-82.98,-82.26,-121.61,-118.88,-120.95,-116.71,-118.09,,,,
Working Capital,19218000000,19610000000,17921000000,14017000000,15790000000,18269000000,17935000000,17801000000,19683000000,19552000000,18606000000,31331000000,29782000000,15915000000,16667000000,20017000000,21958000000,19080000000,20093000000,20164000000,23386000000,22201000000,18380000000,19240000000,21924000000,18180000000,14327000000,21359000000,,20251000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2540000000,-3050000000,-5523000000,-11425000000,-9167000000,-8055000000,-5311000000,-5348000000,-1586000000,2235000000,3009000000,2979000000,3107000000,1080000000,484000000,3066000000,3825000000,2087000000,500000000,3556000000,656000000,486000000,722000000,-1478000000,,,,-1495000000
Book Value Per Share,10.62,10.80,10.48,10.99,11.22,12.14,9.16,8.68,8.50,7.71,8.33,7.75,7.48,8.38,8.90,9.06,9.16,9.06,9.20,9.16,9.16,8.95,8.37,8.10,7.71,7.34,7.92,7.84,7.46,7.22,6.92,6.62,6.38,6.35,6.74,6.77,6.80,6.62,5.20,4.88,4.61,4.18,4.94,4.46,4.37,3.96,1.57,1.40,0.64,-0.19,-0.52,-1.05,-1.64,-2.61,-2.69,-3.74,-7.29,-6.92,-0.88,-0.75,3.24,2.84,0.55,-1.03,-1.97,-1.84,4.87,7.79,6.52,7.28,7.55,7.72,8.56,9.54,7.69,7.41,7.03,6.36,4.47,4.41,3.68,3.05,5.47,5.51,4.11,4.30,7.38,7.56,8.73,12.55,11.08,20.45,23.57,22.81,22.27,21.67,20.43,19.33,19.57,19.04,17.77,25.59,24.77,24.40,22.90,22.58,,,,22.92