Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30
Revenue,4384235000000,4438186000000,4255754000000,3829550000000,3875683000000,3688785000000,3404358000000,3583870000000,3623806000000,3771569000000,3651369000000,2123775000000,3458060000000,3747593000000,3729103000000,3996253000000,4049117000000,3973655000000,3841712000000,4024133000000,3914728000000,3957123000000,3776199000000,3713096000000,3763434000000,3501068000000,3262968000000,3471730000000,3657889000000,3617223000000,3621277000000,3704762000000,3491515000000,3497906000000,3131935000000,3206743000000,3760886000000,3020889000000,2890221000000,2834095000000,2744960000000,2425792000000,2271286000000,2435909000000,2405062000000,1942545000000,1885892000000,1714596000000,2213079000000,2110414000000,2251911000000,2361463000000,2279567000000,2240740000000,2056655000000,2002212000000,1783898000000,2533257000000,2826865000000,2867221000000,3055551000000,3044814000000,2971346000000,2931123000000,3087890000000,2768652000000,2630874000000,2599724000000,2833741000000,2472006000000,2337670000000,2264579000000,2349554000000,2133820000000,2093578000000,2073153000000,2144924000000,1992245000000,2017203000000,2008228000000,2128649000000,1989239000000,1916775000000,1936836000000,2101030000000,1756412000000,1744561000000,1760435000000
Revenue Growth (YoY),13.12%,20.32%,25.01%,6.86%,6.95%,-2.19%,-6.76%,68.75%,4.79%,0.64%,-2.08%,-46.86%,-14.60%,-5.69%,-2.93%,-0.69%,3.43%,0.42%,1.73%,8.38%,4.02%,13.03%,15.73%,6.95%,2.89%,-3.21%,-9.89%,-6.29%,4.77%,3.41%,15.62%,15.53%,-7.16%,15.79%,8.36%,13.15%,37.01%,24.53%,27.25%,16.35%,14.13%,24.88%,20.44%,42.07%,8.67%,-7.95%,-16.25%,-27.39%,-2.92%,-5.82%,9.49%,17.94%,27.79%,-11.55%,-27.25%,-30.17%,-41.62%,-16.80%,-4.86%,-2.18%,-1.05%,9.97%,12.94%,12.75%,8.97%,12.00%,12.54%,14.80%,20.61%,15.85%,11.66%,9.23%,9.54%,7.11%,3.79%,3.23%,0.76%,0.15%,5.24%,3.69%,1.31%,13.26%,9.87%,10.02%,,,,
Cost of Revenue,3530639000000,3539583000000,3441741000000,3064170000000,3081173000000,2924975000000,2715355000000,2846420000000,2845168000000,2940964000000,2884258000000,1769299000000,2761533000000,2966552000000,2957091000000,3166483000000,3255441000000,3158104000000,3004708000000,3162696000000,3073933000000,3063005000000,2988854000000,2874789000000,2928589000000,2736728000000,2522871000000,2677660000000,2828442000000,2789606000000,2828705000000,2885646000000,2704575000000,2684121000000,2440476000000,2501612000000,3106490000000,2208846000000,2150812000000,2124409000000,2050556000000,1800557000000,1702835000000,1791214000000,1777708000000,1446474000000,1405811000000,1289640000000,1647432000000,1517648000000,1647625000000,1684136000000,1694201000000,1610147000000,1556549000000,1553824000000,1486945000000,1833960000000,2058223000000,2051325000000,2202025000000,2140323000000,2088906000000,2111916000000,2173589000000,1945754000000,1884533000000,1861266000000,2042981000000,1731527000000,1644719000000,1591130000000,1668769000000,1483180000000,1444313000000,1441910000000,1480633000000,1363822000000,1386765000000,1378586000000,1374387000000,1374953000000,1296008000000,1318856000000,1420314000000,1178913000000,1185292000000,1220245000000
Gross Profit,853596000000,898603000000,814013000000,765380000000,794510000000,763810000000,689003000000,737450000000,778638000000,830605000000,767111000000,354476000000,696527000000,781041000000,772012000000,829770000000,793676000000,815551000000,837004000000,861437000000,840795000000,894118000000,787345000000,838307000000,834845000000,764340000000,740097000000,794070000000,829447000000,827617000000,792572000000,819116000000,786940000000,813785000000,691459000000,705131000000,654396000000,812043000000,739409000000,709686000000,694404000000,625235000000,568451000000,644695000000,627354000000,496071000000,480081000000,424956000000,565647000000,592766000000,604286000000,677327000000,585366000000,630593000000,500106000000,448388000000,296953000000,699297000000,768642000000,815896000000,853526000000,904491000000,882440000000,819207000000,914301000000,822898000000,746341000000,738458000000,790760000000,740479000000,692951000000,673449000000,680785000000,650640000000,649265000000,631243000000,664291000000,628423000000,630438000000,629642000000,754262000000,614286000000,620767000000,617980000000,680716000000,577499000000,559269000000,540190000000
"Selling, General & Admin",469139000000,397362000000,383205000000,361573000000,371238000000,329644000000,308589000000,317014000000,327517000000,381019000000,317939000000,305253000000,477999000000,379648000000,376494000000,407449000000,519892000000,444556000000,438289000000,371656000000,494956000000,422923000000,462449000000,394823000000,474572000000,380356000000,384621000000,361663000000,698152000000,497167000000,479067000000,434488000000,535509000000,454464000000,368169000000,362408000000,267425000000,425949000000,416863000000,383061000000,402783000000,354767000000,327472000000,342683000000,367862000000,317354000000,299897000000,292167000000,395615000000,343003000000,319433000000,324609000000,351275000000,341355000000,323062000000,321632000000,439884000000,447497000000,483165000000,468273000000,525235000000,481042000000,456333000000,455986000000,500218000000,474746000000,424686000000,418622000000,449356000000,420736000000,405797000000,380476000000,412874000000,376999000000,360331000000,363055000000,433416000000,346955000000,355879000000,367433000000,395200000000,348850000000,362721000000,339134000000,381781000000,318047000000,306848000000,294620000000
Research & Development,279002000000,220750000000,199572000000,181591000000,223685000000,204717000000,181428000000,177226000000,237913000000,171851000000,166216000000,162914000000,224145000000,234744000000,175382000000,169852000000,231419000000,200848000000,184240000000,190398000000,219013000000,186619000000,171951000000,174273000000,222171000000,176299000000,127395000000,165564000000,195126000000,167371000000,148663000000,145342000000,165333000000,149320000000,154293000000,137216000000,148095000000,157520000000,151095000000,141662000000,155632000000,138527000000,140112000000,125999000000,147516000000,134419000000,127673000000,110210000000,123826000000,124110000000,121380000000,118275000000,137994000000,112267000000,111501000000,101592000000,140076000000,149348000000,136626000000,137147000000,159447000000,147206000000,139769000000,141537000000,163859000000,143042000000,128631000000,116315000000,138588000000,124757000000,124460000000,122580000000,127552000000,116005000000,116002000000,108195000000,117955000000,112140000000,116128000000,102744000000,117382000000,106458000000,105000000000,108023000000,107752000000,104670000000,88629000000,94125000000
Operating Expenses,748141000000,618112000000,582777000000,543164000000,594923000000,534361000000,490017000000,494240000000,565430000000,552870000000,484155000000,468167000000,702144000000,614392000000,551876000000,577301000000,751311000000,645404000000,622529000000,562054000000,713969000000,609542000000,634400000000,569096000000,696743000000,556655000000,512016000000,527227000000,893278000000,664538000000,627730000000,579830000000,700842000000,603784000000,522462000000,499624000000,415520000000,583469000000,567958000000,524723000000,558415000000,493294000000,467584000000,468682000000,515378000000,451773000000,427570000000,402377000000,519441000000,467113000000,440813000000,442884000000,489269000000,453622000000,434563000000,423224000000,579960000000,637401000000,636937000000,615762000000,684682000000,628248000000,596102000000,597523000000,664077000000,617788000000,553317000000,534937000000,449928000000,545493000000,530257000000,503056000000,540426000000,493004000000,476333000000,471250000000,551371000000,459095000000,472007000000,470177000000,512582000000,455308000000,467721000000,447157000000,489533000000,422717000000,395477000000,388745000000
Other Operating Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40556000000,17146000000,10342000000,0,0,0,0,0,0,0,0,-138016000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Operating Income,105455000000,280491000000,231236000000,222216000000,199587000000,229449000000,198986000000,243210000000,213208000000,277735000000,282956000000,-113691000000,-5617000000,166649000000,220136000000,252469000000,42365000000,170147000000,214475000000,299383000000,126826000000,284576000000,152945000000,269211000000,138102000000,207685000000,228081000000,266843000000,-63831000000,163079000000,164842000000,239286000000,86098000000,210001000000,168997000000,205507000000,238876000000,228574000000,171451000000,184963000000,135989000000,131941000000,100867000000,176013000000,111976000000,44298000000,52511000000,22579000000,46206000000,125653000000,163473000000,234443000000,96097000000,176971000000,65543000000,25164000000,-283007000000,61896000000,131705000000,200134000000,168844000000,276243000000,286338000000,221684000000,250224000000,205110000000,193024000000,203521000000,340832000000,194986000000,162694000000,170393000000,140359000000,157636000000,172932000000,159993000000,112920000000,169328000000,158431000000,159465000000,241680000000,158978000000,153046000000,170823000000,191183000000,154782000000,163792000000,151445000000
Interest Expense / Income,10898000000,9564000000,8223000000,7427000000,7198000000,3241000000,3503000000,2925000000,5314000000,2014000000,4716000000,1833000000,9564000000,7530000000,4000000000,3595000000,3152000000,4108000000,2994000000,2963000000,3677000000,3142000000,3297000000,2854000000,3687000000,2593000000,3099000000,3092000000,4608000000,4406000000,4307000000,4825000000,3530000000,5106000000,4820000000,4738000000,3142000000,3849000000,2838000000,2974000000,3214000000,2812000000,3115000000,3016000000,2869000000,2445000000,2520000000,2544000000,2210000000,2017000000,2073000000,2174000000,4256000000,1172000000,3313000000,3811000000,38641000000,-5120000000,-6289000000,-4689000000,42519000000,-8131000000,-8513000000,-9252000000,-7282000000,-8727000000,-7047000000,-6396000000,-6755000000,-5517000000,-1562000000,-1627000000,697000000,-747000000,465000000,544000000,337000000,328000000,-1235000000,1465000000,838000000,1640000000,330000000,1954000000,2002000000,2613000000,1978000000,2731000000
Other Expense / Income,30928000000,-52139000000,-39550000000,-8254000000,-12963000000,-43992000000,-49369000000,-55867000000,-37229000000,-95424000000,-55851000000,-41199000000,-10912000000,-32356000000,-59869000000,-23647000000,-63417000000,-44258000000,-53107000000,-39470000000,-53326000000,-45946000000,-75316000000,-50495000000,-37225000000,-38180000000,-30942000000,-9574000000,4731000000,-27283000000,-35814000000,-30027000000,-13661000000,-43370000000,-13783000000,-31351000000,-32982000000,-16118000000,-21185000000,-11349000000,28789000000,23592000000,-29294000000,-36559000000,-11425000000,-39056000000,-40082000000,-35668000000,-49709000000,-44518000000,-33758000000,-51629000000,-19107000000,-23268000000,-24965000000,3294000000,-18552000000,-46377000000,-32780000000,-50844000000,-39019000000,485000000,5032000000,-17487000000,2195000000,-3513000000,13741000000,-7260000000,-9965000000,4740000000,-31200000000,6569000000,-9026000000,-58991000000,-21424000000,-33460000000,-8031000000,-59584000000,-47473000000,-2741000000,45173000000,-16757000000,26270000000,-6648000000,14463000000,20096000000,19183000000,4279000000
Pretax Income,63629000000,323066000000,262563000000,223043000000,205352000000,270200000000,244852000000,296152000000,245123000000,371145000000,334091000000,-74325000000,-4269000000,191475000000,276005000000,272521000000,102630000000,210297000000,264588000000,335890000000,176475000000,327380000000,224964000000,316852000000,171640000000,243272000000,255924000000,273325000000,-73170000000,185956000000,196349000000,264488000000,96229000000,248265000000,177960000000,232120000000,268716000000,240843000000,189798000000,193338000000,103986000000,105537000000,127046000000,209556000000,120532000000,80909000000,90073000000,55703000000,93705000000,168154000000,195158000000,283898000000,110948000000,199067000000,87195000000,18059000000,-303096000000,113393000000,170774000000,255667000000,165344000000,283889000000,289819000000,248423000000,255311000000,217350000000,186330000000,217177000000,357552000000,195763000000,195456000000,165451000000,148688000000,217374000000,193891000000,192909000000,120614000000,228584000000,207139000000,160741000000,195669000000,174095000000,126446000000,175517000000,174718000000,132073000000,142631000000,144435000000
