Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31
Net Income,2513000000,3687000000,3292000000,2259000000,3318000000,2321000000,1618000000,1142000000,438000000,270000000,331000000,104000000,16000000,105000000,143000000,-408000000,-702000000,140000000,311000000,-717539000,-709551000,-675950000,-619376000,-336397000,-330277000,-121337000,21878000,-293188000,-282267000,-320397000,-229858000,-184227000,-154181000,-107629000,-74708000,-61900000,-49800000,-16264000,-38496000,-30502000,11248000,-89931000,-110804000,-105603000,-89873000,-81489000,-65078000,-58903000,-48941000,-51358000,-34935000,-38517000,-29519000,-24242000,-4615000,-10867000,-16016000
Depreciation & Amortization,1046000000,989000000,956000000,922000000,880000000,848000000,761000000,681000000,621000000,618000000,584000000,567000000,553000000,577000000,530000000,579000000,468000000,497000000,502512000,485255000,416233000,469603000,400624000,389171000,376602000,326939000,280468000,183232000,156460000,143723000,110366000,91389000,77112000,67976000,64972000,54715000,44268000,37585000,28450000,22198000,17850000,12792000,7522000,4348000,4163000,4804000,4280000,4318000,3517000,2890000,3109000,2483000,2141000,1935000,1948000,1685000,1372000
Share-Based Compensation,418000000,419000000,362000000,361000000,418000000,558000000,475000000,474000000,614000000,633000000,543000000,347000000,211000000,281000000,199000000,210000000,208000000,205000000,205017000,197344000,141639000,134588000,112653000,116042000,103717000,87713000,89543000,67311000,89658000,55640000,55998000,43335000,43026000,44516000,39158000,35784000,37038000,25171000,20984000,19714000,14868000,14416000,12475000,12543000,10711000,8682000,7885000,6926000,5926000,7769000,3811000,6115000,3387000,985000,206000,153000,90000
Other Operating Activities,-1464000000,-1817000000,490000000,-1191000000,-621000000,858000000,293000000,-173000000,-32000000,1498000000,942000000,-54000000,-1220000000,462000000,-116000000,483000000,-614000000,393000000,372511000,-94724000,-246697000,581304000,-194463000,-368988000,-219853000,-741524000,31760000,192981000,-213456000,91185000,-139846000,-110013000,-97751000,-91265000,-57418000,-30261000,27217000,87495000,91098000,-46708000,20113000,27498000,-10219000,24448000,11699000,27245000,31422000,25171000,-3799000,6415000,-17942000,9672000,-3338000,-7685000,-21028000,-3137000,-1609000
Operating Cash Flow,2513000000,3278000000,5100000000,2351000000,3995000000,4585000000,3147000000,2124000000,1641000000,3019000000,2400000000,964000000,-440000000,1425000000,756000000,864000000,-640000000,1235000000,1391040000,-129664000,-398376000,509545000,-300562000,-200172000,-69811000,-448209000,423649000,150336000,-249605000,-29849000,-203340000,-159516000,-131794000,-86402000,-27996000,-1662000,58723000,133987000,102036000,-35298000,64079000,-35225000,-101026000,-64264000,-63300000,-40758000,-21491000,-22488000,-43297000,-34284000,-45957000,-20247000,-27329000,-29007000,-23489000,-12166000,-16163000
Operating Cash Flow Growth,-37.10%,-28.51%,62.06%,10.69%,143.45%,51.87%,31.13%,120.33%,,111.86%,217.46%,11.57%,,15.38%,-45.65%,,,142.37%,,,,,,,,,,,,,,,,,,,-8.36%,,,,,,,,,,,,,,,,,,,,
Capital Expenditures,-2073000000,-1858000000,-1803000000,-1730000000,-1772000000,-1814000000,-1825000000,-1515000000,-1360000000,-1164000000,-1021000000,-566000000,-481000000,-449000000,-410000000,-268000000,-305000000,-354000000,-559150000,-677213000,-728637000,-905789000,-1244727000,-1157912000,-772572000,-681281000,-247611000,-294720000,-216859000,-411222000,-392403000,-405165000,-426060000,-368661000,-284175000,-175685000,-141364000,-89434000,-76548000,-40515000,-57727000,-64053000,-62398000,-58003000,-54774000,-40592000,-68844000,-54314000,-20476000,-23648000,-66478000,-9815000,-5472000,-6199000,-2256000,-2527000,-902000
Acquisitions,0,0,0,0,0,0,0,0,0,0,-13000000,0,0,0,-76000000,32000000,-1000000,-11000000,-1396000,-5604000,0,-5853000,0,0,-109147000,342719000,0,0,0,0,0,-12260000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Change in Investments,-411000000,-4349000000,-988000000,846000000,-386000000,-102000000,-30000000,0,-1228000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16667000,0,0,0,0,0,-10000,-5563000,177974000,-189111000,0,0,0,0,0,0,25000000,8000,40000000,-64952000,0,0,0,0,0,0,0,0,0,0
Other Investing Activities,,76000000,,,-9000000,,,,6000000,117000000,-5000000,,1000000,46000000,,-5000000,,,,,,,,,,79156000,-20395000,-41801000,-16960000,-3058000,-11687000,-5412000,-6284000,-3560000,-1905000,321000,1295000,-71000,-954000,13341000,2491000,3296000,-1616000,17071000,-11461000,29515000,-44374000,31192000,30587000,15098000,-88201000,2126000,-3907000,,-779000,-1581000,
Investing Cash Flow,-2484000000,-6131000000,-2791000000,-884000000,-2167000000,-1916000000,-1855000000,-1515000000,-2582000000,-1047000000,-1039000000,-566000000,-480000000,-403000000,-486000000,-241000000,-306000000,-365000000,-560546000,-682817000,-728637000,-911642000,-1244727000,-1157912000,-881719000,-259406000,-268006000,-319854000,-233819000,-414280000,-404090000,-422837000,-432344000,-372231000,-291643000,2610000,-329180000,-89505000,-77502000,-27174000,-55236000,-60757000,-64014000,-15932000,-66227000,28923000,-178170000,-23122000,10111000,-8550000,-154679000,-7689000,-9379000,-6199000,-3035000,-4108000,-902000
Share Issuance / Repurchase,231000000,67000000,229000000,43000000,202000000,262000000,192000000,70000000,183000000,5043000000,5117000000,57000000,2469000000,96000000,71000000,1040000000,78000000,76000000,94929000,31053000,94018000,72497000,80415000,101606000,457482000,10356000,42983000,1759374000,52838000,12585000,785155000,23653000,35218000,10530000,36810000,68149000,374126000,13088000,27128000,572506000,17903000,228303000,7687000,1398000,8993000,2713000,2882000,232692000,3706000,30609000,239003000,222000,358000,379000,53000,33000,32000
Debt Issued / Paid,-421000000,-497000000,-899000000,-402000000,-2068000000,-1456000000,-1530000000,-1588000000,-1167000000,-2305000000,-587000000,111000000,287000000,-200000000,45000000,1601000000,-685000000,-213000000,-221311000,245597000,262714000,262397000,2027635000,156695000,1225273000,1184164000,-361546000,231937000,663635000,212920000,120137000,198984000,151896000,794000,-3056000,296899000,1997455000,-2045000,-2746000,218248000,-14219000,-13858000,32492000,70782000,83838000,51060000,90727000,31643000,30577000,15189000,11060000,15421000,29843000,-47000,-60000,5752000,19501000
Other Financing Activities,-43000000,-65000000,-42000000,-47000000,-48000000,-63000000,-43000000,-31000000,-32000000,-46000000,-80000000,-45000000,-48000000,25000000,2000000,-498000000,-46000000,25000000,42100000,121972000,14928000,-48916000,-6544000,170466000,-84006000,178307000,-2307000,-14727000,-1038000,-467000,-11314000,-4286000,-958000,1000,,-83556000,-555022000,-527000,-167000,-193747000,,,,,,,,,,31000,-168000,-1949000,-1574000,-2046000,82378000,49444000,
Financing Cash Flow,-233000000,-495000000,-712000000,-406000000,-1914000000,-1257000000,-1381000000,-1549000000,-1016000000,2692000000,4450000000,123000000,2708000000,-79000000,118000000,2143000000,-653000000,-112000000,-84282000,398622000,371660000,285978000,2101506000,428767000,1598749000,1372827000,-320870000,1976584000,715435000,225038000,893978000,218351000,186156000,11325000,33754000,281492000,1816559000,10516000,24215000,597007000,3684000,214445000,40179000,72180000,92831000,53773000,93609000,264335000,34283000,45829000,249895000,13694000,28627000,-1714000,82371000,55229000,19533000
Net Cash Flow,-154000000,-3225000000,1262000000,847000000,-104000000,1450000000,-131000000,-898000000,-2178000000,4898000000,5897000000,559000000,1764000000,957000000,377000000,2766000000,-1594000000,754000000,739721000,-436470000,-745251000,-111855000,564017000,-913024000,658862000,645160000,-162044000,1804512000,244881000,-229128000,275363000,-359403000,-395637000,-482833000,-286364000,281002000,1548019000,48188000,48749000,534535000,12527000,116197000,-124861000,-8016000,-36696000,41938000,-106052000,218725000,1097000,2995000,49259000,-14242000,-8081000,-36920000,55847000,38955000,2468000
Free Cash Flow,440000000,1420000000,3297000000,621000000,2223000000,2771000000,1322000000,609000000,281000000,1855000000,1379000000,398000000,-921000000,976000000,346000000,596000000,-945000000,881000000,831890000,-806877000,-1127013000,-396244000,-1545289000,-1358084000,-842383000,-1129490000,176038000,-144384000,-466464000,-441071000,-595743000,-564681000,-557854000,-455063000,-312171000,-177347000,-82641000,44553000,25488000,-75813000,6352000,-99278000,-163424000,-122267000,-118074000,-81350000,-90335000,-76802000,-63773000,-57932000,-112435000,-30062000,-32801000,-35206000,-25745000,-14693000,-17065000
Free Cash Flow Growth,-80.21%,-48.75%,149.39%,1.97%,691.10%,49.38%,-4.13%,53.02%,,90.06%,298.55%,-33.22%,,10.78%,-58.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Cash Flow Margin,1.89%,5.84%,15.37%,3.67%,11.85%,15.64%,9.61%,5.09%,2.70%,17.27%,15.72%,6.59%,-15.39%,13.22%,5.49%,9.39%,-20.81%,12.19%,12.19%,-20.16%,-33.06%,-12.05%,-51.77%,-48.68%,-31.24%,-49.44%,7.66%,-11.37%,-40.67%,-36.32%,-63.59%,-59.13%,-59.35%,-47.57%,-36.65%,-23.05%,-13.32%,7.24%,5.91%,-18.71%,1.13%,-32.41%,-326.17%,-458.74%,-391.40%,-206.60%,-156.65%,-132.03%,-130.07%,-159.65%,-359.90%,-105.83%,-157.61%,-189.43%,-56.55%,-54.53%,-81.71%
Free Cash Flow Per Share,0.14,0.45,1.05,0.20,0.72,0.91,0.44,0.21,0.10,0.65,0.49,0.14,-0.34,0.36,0.13,0.22,-0.36,0.34,0.32,-0.32,-0.44,-0.16,-0.62,-0.55,-0.35,-0.48,0.08,-0.07,-0.23,-0.22,-0.31,-0.30,-0.29,-0.24,-0.17,-0.09,-0.04,0.02,0.01,-0.04,0.00,-0.06,-0.10,-0.08,-0.07,-0.05,-0.06,-0.05,-0.04,-0.08,-0.08,-0.26,-0.30,-0.33,-0.24,-0.14,-0.16